,restaurant_name,city,cuisines,swiggy_rating,swiggy_total_reviews,zomato_rating,zomato_total_reviews,avg_cost_per_person_inr,price_category,swiggy_delivery_fee_inr,zomato_delivery_fee_inr,swiggy_avg_delivery_time_minutes,zomato_avg_delivery_time_minutes,swiggy_estimated_monthly_orders,zomato_estimated_monthly_orders,swiggy_estimated_monthly_revenue_inr,zomato_estimated_monthly_revenue_inr,repeat_customer_pct,platform_performance_better
0,Tandoor House,Chennai,Fast Food; Continental,4,1480,3.7,706,310,Mid-Range,15,22,18,19,252,341,78120,105710,54,Zomato Better
1,Copper Deck,Delhi,Thai,3.9,3025,4.1,3100,146,Budget,41,41,23,27,367,487,53582,71102,42,Zomato Better
2,The Fast House,Ahmedabad,Fast Food,3.9,877,4.2,1350,650,Mid-Range,38,45,23,32,176,179,114400,116350,50,Swiggy Better
3,Urban Bowl,Chennai,Korean; Cafe,4.6,1390,4.8,735,551,Mid-Range,44,35,24,27,266,270,146566,148770,67,Balanced
4,Golden Kitchen Co.,Mumbai,Seafood,4.6,768,4.8,1678,311,Mid-Range,98,101,41,48,207,312,64377,97032,61,Zomato Better
5,The Street Deck,Lucknow,Street Food,4.2,3342,4.1,1225,481,Mid-Range,45,50,31,27,429,190,206349,91390,59,Swiggy Better
6,Basil Bakery Republic,Chennai,Bakery,4.5,1728,4.3,1112,344,Mid-Range,34,32,22,25,291,250,100104,86000,61,Swiggy Better
7,Zaffran Street Bowl,Kolkata,Street Food,3.8,618,3.6,1524,178,Budget,46,40,34,30,257,178,45746,31684,28,Swiggy Better
8,Urban Tadka,Mumbai,Biryani,4.7,1399,4.5,875,193,Budget,50,43,36,25,411,253,79323,48829,70,Swiggy Better
9,Saffron Mexican Cellar,Delhi,Mexican,4.1,708,4.1,572,193,Budget,38,38,25,26,262,218,50566,42074,42,Swiggy Better
10,The Street House,Delhi,Street Food; Biryani,4,1095,3.9,2385,287,Budget,30,39,24,19,343,323,98441,92701,46,Swiggy Better
11,The Vegan Cafe,Jaipur,Vegan,4,1175,4.4,639,392,Mid-Range,89,85,45,48,188,248,73696,97216,51,Zomato Better
12,Bamboo House,Hyderabad,Cafe; Japanese,3.8,811,3.6,1228,330,Mid-Range,88,81,41,48,309,309,101970,101970,40,Zomato Better
13,The Desserts Cellar,Kolkata,Desserts; Bakery,4.3,887,4.5,1538,925,Premium,106,98,46,52,216,351,199800,324675,63,Zomato Better
14,The Thai House,Delhi,Thai; Vegan,4.4,1310,4.2,722,569,Mid-Range,71,61,32,40,283,188,161027,106972,65,Swiggy Better
15,Twist Darbar,Bangalore,Desserts,4.7,784,4.8,722,761,Premium,44,47,21,33,317,326,241237,248086,69,Zomato Better
16,Bistro Continental Kitchen Co.,Pune,Continental; Pan-Asian,3.2,288,3.7,1072,175,Budget,27,32,21,25,132,185,23100,32375,32,Zomato Better
17,Terrace Chinese Diner,Mumbai,Chinese,4.7,1576,4.8,4688,646,Mid-Range,40,36,31,27,249,597,160854,385662,68,Zomato Better
18,Ember Lebanese Diner,Kolkata,Lebanese,4.2,1494,4.5,2118,971,Premium,57,57,32,40,290,391,281590,379661,55,Zomato Better
19,Spice Pan-Asian Kitchen,Hyderabad,Pan-Asian,4.2,1322,4.4,993,249,Budget,44,50,30,31,270,210,67230,52290,41,Swiggy Better
20,The Street Hub,Chennai,Street Food,4.5,2074,3.8,598,696,Mid-Range,40,38,30,27,250,222,174000,154512,59,Swiggy Better
21,The Vietnamese Corner,Delhi,Vietnamese,3.8,1582,3.7,765,769,Premium,37,46,25,29,253,284,194557,218396,37,Zomato Better
22,The Vietnamese Eatery,Lucknow,Vietnamese; Vegan,4.6,655,4.6,1045,202,Budget,66,63,35,38,196,238,39592,48076,69,Zomato Better
23,Cinnamon Grill,Ahmedabad,Mexican,4,1257,4.1,850,815,Premium,97,109,51,53,310,236,252650,192340,42,Swiggy Better
24,Copper Seafood Cellar,Kolkata,Seafood; Desserts,4.1,1411,4.4,824,922,Premium,36,34,30,17,337,396,310714,365112,61,Zomato Better
25,Green House,Bangalore,Korean,4.8,431,4.6,697,1200,Premium,24,23,21,20,143,118,171600,141600,63,Swiggy Better
26,Lotus Multi-Cuisine Point,Delhi,Multi-Cuisine; Bakery,4.5,2823,4.3,968,588,Mid-Range,65,61,36,37,326,297,191688,174636,54,Zomato Better
27,The Street House (2),Mumbai,Street Food,4.6,755,4.5,587,259,Budget,34,25,25,23,199,142,51541,36778,53,Swiggy Better
28,The Lebanese Tadka,Mumbai,Lebanese; Street Food,5,947,4.9,2779,460,Mid-Range,55,56,32,27,317,348,145820,160080,64,Zomato Better
29,Urban Foods,Hyderabad,Mediterranean; Mughlai,4.8,1266,4.8,1090,448,Mid-Range,89,78,42,40,440,446,197120,199808,64,Zomato Better
30,Basil Foods,Chennai,Vietnamese; Multi-Cuisine,4.1,2167,4.1,1633,321,Mid-Range,52,57,34,32,323,429,103683,137709,45,Zomato Better
31,Spice Mediterranean Bhavan,Lucknow,Mediterranean,4,1505,4.1,1189,569,Mid-Range,23,24,19,17,256,203,145664,115507,45,Swiggy Better
32,Zaffran Kitchen,Bangalore,Street Food,4.8,1813,4.7,924,420,Mid-Range,73,58,37,38,298,347,125160,145740,75,Zomato Better
33,The Bakery Bhavan,Delhi,Bakery,4.1,2403,3.9,2560,664,Mid-Range,55,61,35,36,315,318,209160,211152,44,Zomato Better
34,Urban Cafe,Delhi,North Indian,4.9,2204,5,1967,418,Mid-Range,51,51,32,37,256,399,107008,166782,71,Zomato Better
35,The Cafe Table,Bangalore,Cafe,4.2,2153,4.5,935,190,Budget,50,51,32,31,319,283,60610,53770,39,Swiggy Better
36,Silk Bowl,Mumbai,Japanese; Mughlai,4.5,1374,4.4,718,1596,Luxury,55,44,32,33,170,155,271320,247380,62,Swiggy Better
37,The North Grill,Delhi,North Indian,4.6,1225,4.9,1268,1745,Luxury,45,41,23,28,207,193,361215,336785,68,Balanced
38,Wok Bar & Grill,Bangalore,Thai,4.7,1141,4.5,1369,351,Mid-Range,47,49,24,29,241,192,84591,67392,56,Swiggy Better
39,Bombay Korean Bhavan,Hyderabad,Korean,4.5,2006,4.4,2884,328,Mid-Range,88,78,40,44,243,344,79704,112832,61,Zomato Better
40,The Vietnamese Cellar,Delhi,Vietnamese; Cafe,4.5,2900,4.5,1951,564,Mid-Range,74,72,33,40,385,392,217140,221088,53,Balanced
41,Saffron South Point,Kolkata,South Indian,4.7,829,4.9,1658,816,Premium,55,57,30,34,261,344,212976,280704,59,Zomato Better
42,Bombay Hub,Chennai,Biryani,4.9,3756,4.7,870,421,Mid-Range,46,49,34,26,423,388,178083,163348,73,Swiggy Better
43,The South Bowl,Bangalore,South Indian,3.8,1158,3.4,808,1066,Premium,35,25,25,22,133,175,141778,186550,37,Zomato Better
44,Harvest Street Tadka,Kolkata,Street Food; Mughlai,4.7,1912,4.4,671,329,Mid-Range,34,36,24,23,223,262,73367,86198,68,Zomato Better
45,Bistro Deck,Kolkata,Seafood; Cafe,4,1333,4.1,700,1061,Premium,31,32,22,18,241,243,255701,257823,56,Swiggy Better
46,The Biryani Grill,Delhi,Biryani,4.3,711,4.1,2271,575,Mid-Range,79,77,42,43,306,322,175950,185150,51,Zomato Better
47,The Vegan Eatery,Bangalore,Vegan; North Indian,4.1,2761,4,2013,145,Budget,30,34,24,23,375,269,54375,39005,46,Swiggy Better
48,The Cafe Republic,Hyderabad,Cafe,4.6,2072,4.7,2692,327,Mid-Range,47,43,27,28,367,339,120009,110853,51,Swiggy Better
